MAHS,HO,TEN,CCCD,NTNS,DCHI_HS
23452309,Hma,Hương Lan,084536970758,2007/05/09,"Xã Chư Gu, Huyện Krông Pa, Tỉnh Gia Lai"
23457159,Trương Dương,Minh Tiến,321968862944,2005/03/17,"Xã Pró, Huyện Đơn Dương, Tỉnh Lâm Đồng"
23433265,Lưu,Duy Thắng,748774466187,2005/12/01,"Xã Thạnh Phú, Huyện Vĩnh Cửu, Tỉnh Đồng Nai"
23441228,Hạ,Hồng Châu,251381291506,2007/06/07,"Xã Gio An, Huyện Gio Linh, Tỉnh Quảng Trị"
23494813,Ca,Hà Liên,414148758579,2005/10/02,"Xã Bạch Đằng, Huyện Hoà An, Tỉnh Cao Bằng"
59933639,Lèng,Ðức Mạnh,030886575686,2005/10/28,"Xã Hồng Phong, Huyện Thanh Miện, Tỉnh Hải Dương"
59941905,Quán,Sông Hương,354799375672,2006/03/16,"Xã Khánh Hòa, Huyện Yên Khánh, Tỉnh Ninh Bình"
59950427,Trần Võ,Minh Kiệt,218749799414,2006/09/01,"Phường Thanh Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai"
59986778,Tông,Ngọc Tú,268471599398,2007/11/09,"Phường Nghi Hòa, Thị xã Cửa Lò, Tỉnh Nghệ An"
59941804,H,Ngọc Ánh,337173258252,2005/10/17,"Xã Liêm Thuỷ, Huyện Na Rì, Tỉnh Bắc Kạn"
59947804,Trịnh,Mạnh Cương,250659363161,2006/04/11,"Thị trấn Ea Knốp, Huyện Ea Kar, Tỉnh Đắk Lắk"
59994485,Thiềm,Nhật Minh,100856186966,2005/12/29,"Xã Bình Hòa Phước, Huyện Long Hồ, Tỉnh Vĩnh Long"
59998862,Kinh,Hồng Diễm,324126045675,2006/09/07,"Xã Cốc Đán, Huyện Ngân Sơn, Tỉnh Bắc Kạn"
59910852,Bàn,Tiến Hoạt,160513643532,2006/12/14,"Phường Hội Nghĩa, Thành phố Tân Uyên, Tỉnh Bình Dương"
59967077,Hùng,Hạnh My,842814826357,2007/08/25,"Xã Phiêng Luông, Huyện Bắc Mê, Tỉnh Hà Giang"
81451677,Ngọ,Thái Tổ,940895646260,2006/06/27,"Xã Nhuế Dương, Huyện Khoái Châu, Tỉnh Hưng Yên"
81452611,Đinh,Ðình Luận,565779602021,2007/07/19,"Xã Đông Bắc, Huyện Kim Bôi, Tỉnh Hoà Bình"
81473822,Linh,Minh Kỳ,136190447847,2005/08/28,"Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội"
81448997,Lưu,Thanh Nga,324892256324,2007/07/10,"Xã Tân Thành, Huyện Tân Hiệp, Tỉnh Kiên Giang"
81489810,Du,Khắc Kỷ,441450920035,2007/02/25,"Xã Phú Mỹ, Huyện Phù Ninh, Tỉnh Phú Thọ"
81428475,Phí,Vân Trinh,901582442196,2007/09/18,"Xã Định Bình, Thành phố Cà Mau, Tỉnh Cà Mau"
81497937,Hnia,Nam Việt,013177097682,2007/10/08,"Xã Hòa Thắng, Huyện Bắc Bình, Tỉnh Bình Thuận"
81427901,Huỳnh Đặng,Hồng Bạch Thảo,890644151614,2006/05/19,"Xã Ô Lâm, Huyện Tri Tôn, Tỉnh An Giang"
81479556,Thi,Gia Khiêm,553559210824,2005/12/30,"Xã An Thượng, Huyện Yên Thế, Tỉnh Bắc Giang"
81471944,Mai,Thụy Miên,989072518779,2007/03/08,"Phường Xuân Phú, Thị xã Sông Cầu, Tỉnh Phú Yên"
69814785,Tiêu,Viết Nhân,874980160535,2006/02/16,"Phường An Thạnh, Thành phố Thuận An, Tỉnh Bình Dương"
69881107,Nguyễn Bùi,Liên Chi,871800125682,2007/11/24,"Thị trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế"
69849476,Ngụy,Hải Bằng,161519423637,2006/09/06,"Xã Điền Môn, Huyện Phong Điền, Tỉnh Thừa Thiên Huế"
69875114,Giáp,Trầm Hương,479112341355,2006/08/14,"Xã Chiềng Khay, Huyện Quỳnh Nhai, Tỉnh Sơn La"
69887183,Hướng,Việt Dũng,052763355716,2005/12/01,"Phường Ninh Hiệp, Thị xã Ninh Hòa, Tỉnh Khánh Hòa"
69876066,Mã,Bích Hồng,863176288826,2005/11/15,"Xã Bàu Hàm 2, Huyện Thống Nhất, Tỉnh Đồng Nai"
69821189,Chúng,Như Trân,805024828195,2007/04/07,"Xã Chiềng Lương, Huyện Mai Sơn, Tỉnh Sơn La"
69835038,Vu,Hạnh Linh,467000070347,2006/02/04,"Xã Thành Công, Huyện Khoái Châu, Tỉnh Hưng Yên"
69820584,Thanh,Minh Khang,871949979239,2006/01/22,"Phường Lam Sơn, Thành phố Hưng Yên, Tỉnh Hưng Yên"
69865594,Hoàng Phủ,Hoàng Miên,304699429537,2007/12/07,"Xã Vô Tranh, Huyện Phú Lương, Tỉnh Thái Nguyên"
